LECROYWS452,17453,Waveform
Segments,1,SegmentSize,4998
Segment,TrigTime,TimeSinceSegment1
#1,17-Dec-2014 16:10:27,0                 
Time,Ampl
-3.20826e-007,0.88875
-3.19826e-007,0.904375
-3.18826e-007,0.95125
-3.17826e-007,0.935625
-3.16826e-007,0.9825
-3.15826e-007,0.935625
-3.14826e-007,0.9825
-3.13826e-007,0.95125
-3.12826e-007,0.9825
-3.11826e-007,1.01375
-3.10826e-007,0.9825
-3.09826e-007,1.06062
-3.08826e-007,0.998125
-3.07826e-007,1.02937
-3.06826e-007,1.02937
-3.05826e-007,1.06062
-3.04826e-007,1.045
-3.03826e-007,1.02937
-3.02826e-007,1.07625
-3.01826e-007,1.045
-3.00826e-007,1.045
-2.99826e-007,1.07625
-2.98826e-007,1.07625
-2.97826e-007,1.07625
-2.96826e-007,1.07625
-2.95826e-007,1.045
-2.94826e-007,1.09187
-2.93826e-007,1.09187
-2.92826e-007,1.09187
-2.91826e-007,1.06062
-2.90826e-007,1.06062
-2.89826e-007,1.06062
-2.88826e-007,1.06062
-2.87826e-007,1.01375
-2.86826e-007,1.07625
-2.85826e-007,1.01375
-2.84826e-007,1.01375
-2.83826e-007,1.01375
-2.82826e-007,1.02937
-2.81826e-007,0.966875
-2.80826e-007,1.01375
-2.79826e-007,0.935625
-2.78826e-007,0.9825
-2.77826e-007,0.9825
-2.76826e-007,0.95125
-2.75826e-007,0.9825
-2.74826e-007,0.935625
-2.73826e-007,0.904375
-2.72826e-007,0.904375
-2.71826e-007,0.904375
-2.70826e-007,0.873125
-2.69826e-007,0.873125
-2.68826e-007,0.82625
-2.67826e-007,0.82625
-2.66826e-007,0.841875
-2.65826e-007,0.810625
-2.64826e-007,0.795
-2.63826e-007,0.795
-2.62826e-007,0.7325
-2.61826e-007,0.70125
-2.60826e-007,0.716875
-2.59826e-007,0.748125
-2.58826e-007,0.6075
-2.57826e-007,0.63875
-2.56826e-007,0.591875
-2.55826e-007,0.57625
-2.54826e-007,0.591875
-2.53826e-007,0.545
-2.52826e-007,0.545
-2.51826e-007,0.498125
-2.50826e-007,0.45125
-2.49826e-007,0.45125
-2.48826e-007,0.4825
-2.47826e-007,0.38875
-2.46826e-007,0.3575
-2.45826e-007,0.3575
-2.44826e-007,0.341875
-2.43826e-007,0.295
-2.42826e-007,0.295
-2.41826e-007,0.26375
-2.40826e-007,0.20125
-2.39826e-007,0.2325
-2.38826e-007,0.185625
-2.37826e-007,0.17
-2.36826e-007,0.13875
-2.35826e-007,0.07625
-2.34826e-007,0.13875
-2.33826e-007,0.045
-2.32826e-007,0.01375
-2.31826e-007,0.01375
-2.30826e-007,-0.033125
-2.29826e-007,-0.0175
-2.28826e-007,-0.04875
-2.27826e-007,-0.11125
-2.26826e-007,-0.08
-2.25826e-007,-0.11125
-2.24826e-007,-0.11125
-2.23826e-007,-0.205
-2.22826e-007,-0.205
-2.21826e-007,-0.220625
-2.20826e-007,-0.2675
-2.19826e-007,-0.283125
-2.18826e-007,-0.314375
-2.17826e-007,-0.36125
-2.16826e-007,-0.42375
-2.15826e-007,-0.3925
-2.14826e-007,-0.42375
-2.13826e-007,-0.42375
-2.12826e-007,-0.439375
-2.11826e-007,-0.5175
-2.10826e-007,-0.5175
-2.09826e-007,-0.54875
-2.08826e-007,-0.58
-2.07826e-007,-0.564375
-2.06826e-007,-0.61125
-2.05826e-007,-0.67375
-2.04826e-007,-0.67375
-2.03826e-007,-0.67375
-2.02826e-007,-0.720625
-2.01826e-007,-0.73625
-2.00826e-007,-0.7675
-1.99826e-007,-0.751875
-1.98826e-007,-0.7675
-1.97826e-007,-0.79875
-1.96826e-007,-0.83
-1.95826e-007,-0.83
-1.94826e-007,-0.83
-1.93826e-007,-0.8925
-1.92826e-007,-0.8925
-1.91826e-007,-0.876875
-1.90826e-007,-0.92375
-1.89826e-007,-0.939375
-1.88826e-007,-0.876875
-1.87826e-007,-0.970625
-1.86826e-007,-0.939375
-1.85826e-007,-0.955
-1.84826e-007,-0.955
-1.83826e-007,-0.98625
-1.82826e-007,-0.98625
-1.81826e-007,-1.00188
-1.80826e-007,-0.98625
-1.79826e-007,-1.0175
-1.78826e-007,-1.0175
-1.77826e-007,-1.0175
-1.76826e-007,-1.0175
-1.75826e-007,-1.04875
-1.74826e-007,-1.0175
-1.73826e-007,-1.00188
-1.72826e-007,-1.03313
-1.71826e-007,-1.04875
-1.70826e-007,-1.0175
-1.69826e-007,-1.06438
-1.68826e-007,-1.06438
-1.67826e-007,-1.09563
-1.66826e-007,-1.08
-1.65826e-007,-1.08
-1.64826e-007,-1.04875
-1.63826e-007,-1.08
-1.62826e-007,-1.04875
-1.61826e-007,-1.09563
-1.60826e-007,-1.08
-1.59826e-007,-1.06438
-1.58826e-007,-1.04875
-1.57826e-007,-1.06438
-1.56826e-007,-1.03313
-1.55826e-007,-1.08
-1.54826e-007,-1.06438
-1.53826e-007,-1.03313
-1.52826e-007,-1.04875
-1.51826e-007,-1.04875
-1.50826e-007,-1.0175
-1.49826e-007,-0.98625
-1.48826e-007,-1.0175
-1.47826e-007,-0.98625
-1.46826e-007,-0.98625
-1.45826e-007,-0.970625
-1.44826e-007,-0.955
-1.43826e-007,-0.955
-1.42826e-007,-0.92375
-1.41826e-007,-0.8925
-1.40826e-007,-0.876875
-1.39826e-007,-0.876875
-1.38826e-007,-0.86125
-1.37826e-007,-0.86125
-1.36826e-007,-0.79875
-1.35826e-007,-0.7675
-1.34826e-007,-0.83
-1.33826e-007,-0.79875
-1.32826e-007,-0.705
-1.31826e-007,-0.7675
-1.30826e-007,-0.720625
-1.29826e-007,-0.67375
-1.28826e-007,-0.67375
-1.27826e-007,-0.626875
-1.26826e-007,-0.6425
-1.25826e-007,-0.58
-1.24826e-007,-0.595625
-1.23826e-007,-0.54875
-1.22826e-007,-0.501875
-1.21826e-007,-0.533125
-1.20826e-007,-0.455
-1.19826e-007,-0.501875
-1.18826e-007,-0.455
-1.17826e-007,-0.455
-1.16826e-007,-0.42375
-1.15826e-007,-0.42375
-1.14826e-007,-0.36125
-1.13826e-007,-0.36125
-1.12826e-007,-0.36125
-1.11826e-007,-0.2675
-1.10826e-007,-0.251875
-1.09826e-007,-0.29875
-1.08826e-007,-0.189375
-1.07826e-007,-0.205
-1.06826e-007,-0.17375
-1.05826e-007,-0.1425
-1.04826e-007,-0.11125
-1.03826e-007,-0.095625
-1.02826e-007,-0.064375
-1.01826e-007,-0.064375
-1.00826e-007,-0.0175
-9.9826e-008,0.060625
-9.8826e-008,-0.0175
