LECROYWS452,17453,Waveform
Segments,1,SegmentSize,4998
Segment,TrigTime,TimeSinceSegment1
#1,17-Dec-2014 16:14:11,0                 
Time,Ampl
-3.20061e-007,-0.83
-3.19061e-007,-0.8925
-3.18061e-007,-0.86125
-3.17061e-007,-0.92375
-3.16061e-007,-0.8925
-3.15061e-007,-0.908125
-3.14061e-007,-0.955
-3.13061e-007,-0.92375
-3.12061e-007,-0.92375
-3.11061e-007,-0.955
-3.10061e-007,-0.98625
-3.09061e-007,-0.955
-3.08061e-007,-1.0175
-3.07061e-007,-0.970625
-3.06061e-007,-0.98625
-3.05061e-007,-0.98625
-3.04061e-007,-1.0175
-3.03061e-007,-1.0175
-3.02061e-007,-0.98625
-3.01061e-007,-1.00188
-3.00061e-007,-1.0175
-2.99061e-007,-0.98625
-2.98061e-007,-1.04875
-2.97061e-007,-1.0175
-2.96061e-007,-1.0175
-2.95061e-007,-1.0175
-2.94061e-007,-1.00188
-2.93061e-007,-1.0175
-2.92061e-007,-0.98625
-2.91061e-007,-1.00188
-2.90061e-007,-1.00188
-2.89061e-007,-0.98625
-2.88061e-007,-0.98625
-2.87061e-007,-1.0175
-2.86061e-007,-0.98625
-2.85061e-007,-0.939375
-2.84061e-007,-1.0175
-2.83061e-007,-0.955
-2.82061e-007,-0.970625
-2.81061e-007,-0.955
-2.80061e-007,-0.939375
-2.79061e-007,-0.955
-2.78061e-007,-0.92375
-2.77061e-007,-0.908125
-2.76061e-007,-0.92375
-2.75061e-007,-0.876875
-2.74061e-007,-0.8925
-2.73061e-007,-0.86125
-2.72061e-007,-0.86125
-2.71061e-007,-0.83
-2.70061e-007,-0.83
-2.69061e-007,-0.7675
-2.68061e-007,-0.7675
-2.67061e-007,-0.814375
-2.66061e-007,-0.705
-2.65061e-007,-0.73625
-2.64061e-007,-0.783125
-2.63061e-007,-0.705
-2.62061e-007,-0.705
-2.61061e-007,-0.689375
-2.60061e-007,-0.67375
-2.59061e-007,-0.6425
-2.58061e-007,-0.595625
-2.57061e-007,-0.595625
-2.56061e-007,-0.58
-2.55061e-007,-0.54875
-2.54061e-007,-0.58
-2.53061e-007,-0.5175
-2.52061e-007,-0.5175
-2.51061e-007,-0.48625
-2.50061e-007,-0.455
-2.49061e-007,-0.42375
-2.48061e-007,-0.42375
-2.47061e-007,-0.3925
-2.46061e-007,-0.376875
-2.45061e-007,-0.33
-2.44061e-007,-0.29875
-2.43061e-007,-0.29875
-2.42061e-007,-0.29875
-2.41061e-007,-0.2675
-2.40061e-007,-0.189375
-2.39061e-007,-0.205
-2.38061e-007,-0.17375
-2.37061e-007,-0.158125
-2.36061e-007,-0.11125
-2.35061e-007,-0.095625
-2.34061e-007,-0.095625
-2.33061e-007,-0.0175
-2.32061e-007,-0.04875
-2.31061e-007,-0.0175
-2.30061e-007,0.01375
-2.29061e-007,0.029375
-2.28061e-007,0.045
-2.27061e-007,0.091875
-2.26061e-007,0.1075
-2.25061e-007,0.1075
-2.24061e-007,0.17
-2.23061e-007,0.17
-2.22061e-007,0.20125
-2.21061e-007,0.2325
-2.20061e-007,0.2325
-2.19061e-007,0.26375
-2.18061e-007,0.295
-2.17061e-007,0.32625
-2.16061e-007,0.341875
-2.15061e-007,0.3575
-2.14061e-007,0.373125
-2.13061e-007,0.42
-2.12061e-007,0.404375
-2.11061e-007,0.4825
-2.10061e-007,0.45125
-2.09061e-007,0.498125
-2.08061e-007,0.51375
-2.07061e-007,0.498125
-2.06061e-007,0.560625
-2.05061e-007,0.545
-2.04061e-007,0.623125
-2.03061e-007,0.6075
-2.02061e-007,0.67
-2.01061e-007,0.70125
-2.00061e-007,0.716875
-1.99061e-007,0.67
-1.98061e-007,0.70125
-1.97061e-007,0.76375
-1.96061e-007,0.76375
-1.95061e-007,0.795
-1.94061e-007,0.795
-1.93061e-007,0.810625
-1.92061e-007,0.76375
-1.91061e-007,0.8575
-1.90061e-007,0.8575
-1.89061e-007,0.8575
-1.88061e-007,0.904375
-1.87061e-007,0.841875
-1.86061e-007,0.8575
-1.85061e-007,0.88875
-1.84061e-007,0.95125
-1.83061e-007,0.873125
-1.82061e-007,0.95125
-1.81061e-007,0.92
-1.80061e-007,0.92
-1.79061e-007,0.904375
-1.78061e-007,0.966875
-1.77061e-007,0.92
-1.76061e-007,0.935625
-1.75061e-007,0.9825
-1.74061e-007,0.95125
-1.73061e-007,0.9825
-1.72061e-007,1.01375
-1.71061e-007,0.966875
-1.70061e-007,1.01375
-1.69061e-007,1.01375
-1.68061e-007,1.01375
-1.67061e-007,1.01375
-1.66061e-007,0.998125
-1.65061e-007,0.998125
-1.64061e-007,0.998125
-1.63061e-007,0.998125
-1.62061e-007,0.998125
-1.61061e-007,1.02937
-1.60061e-007,0.998125
-1.59061e-007,0.9825
-1.58061e-007,0.998125
